id,pickups
1065,4455
10649,597
15527,1952
10677,0
257,351
3372,2589
20329,2
8120,0
1935,220
4431,0
10341,539
16464,0
4790,0
5065,188
23931,1
2340,620
424,0
26647,1
4146,0
7716,2261
21814,0
22490,361
14285,1
18081,672
20994,656
11775,0
4545,3
4602,444
9199,83
20438,5285
26650,0
10015,0
14030,713
11463,375
23260,368
20107,1
16460,2
5291,2
19302,0
20473,1121
14165,3253
12855,2111
20366,442
28862,1979
5792,391
7457,1459
1900,175
10421,1373
134,439
26876,3415
6020,328
25718,294
24379,311
16097,1220
18805,72
5196,3045
12328,5
22666,558
12870,2
21622,0
46,0
9213,93
19936,58
5815,401
2044,3579
11201,1474
23077,0
20923,388
28263,80
25899,64
10640,2
11223,230
28559,127
19611,626
18395,578
18294,423
8487,457
10826,3
19673,1
14140,2211
8394,683
23460,326
21050,2
865,0
26789,536
7888,484
25767,3
21238,2
25492,2
16483,0
13374,653
1735,1
4993,631
12461,1
19317,3647
23317,2031
3350,122
10130,274
11722,49
3949,1178
26663,0
19782,41
997,0
15121,1705
24352,4508
20990,389
9119,0
6254,29
12478,0
28946,35
14438,0
20770,1
24943,67
24873,2
4970,1
15638,177
4619,253
19556,349
15798,22
14017,2
1199,183
1563,62
14762,378
15007,234
4887,424
4814,44
5030,368
26433,0
2113,0
5702,9
19196,4
20013,72
3869,1742
28149,608
7810,101
13598,329
9097,22
23251,2
19582,0
24916,818
25868,119
19451,147
16546,2
24419,3
11396,1
7002,1
25011,4
28082,3916
1531,0
9227,57
22175,2719
13413,7
21980,2655
9497,0
23881,0
10847,15
4340,1722
21272,1
6306,0
12010,0
25155,0
13941,0
9631,0
29052,1
16982,393
9672,0
1521,4
28164,1
6051,0
24872,0
10156,4997
10976,396
11005,1
26690,363
8904,0
10057,1
3782,3480
21608,0
26991,255
21761,291
5467,215
8432,19
10234,383
2365,0
20322,1
12686,2169
26933,496
19804,0
4873,409
25402,0
17869,156
24188,98
27742,2468
28194,690
21029,0
22218,459
13642,374
21707,2
10790,303
11189,505
4653,0
11759,67
12153,282
2956,391
9091,162
12627,230
21294,0
12027,0
22973,0
12379,0
24935,1
2359,1
15948,1
24557,1
16705,3678
24946,3360
12444,22
17678,48
23472,2277
26595,54
11603,902
24921,1
18187,466
15128,1404
20002,1838
14550,233
26912,370
15070,68
23827,4219
26120,111
10914,1578
24427,6
12807,508
26172,3859
22680,635
796,165
5921,0
12596,0
28475,213
8663,0
14769,319
28456,3
27266,0
24747,592
22279,0
8640,74
27860,93
26594,1
6856,519
22875,1
23523,93
20023,2821
21020,1
20672,188
19609,0
22900,2444
14240,539
6724,1988
8959,1
7349,1
25904,1
11321,181
9765,2
5040,71
28244,0
23480,330
5810,5
13635,390
14851,0
24651,1
16082,108
22011,59
18310,1
290,29
26180,257
746,22
3045,2
24466,427
8951,3
1438,4
24866,2
18412,41
14480,1
27439,0
21398,2
18837,0
6015,2
22669,550
17443,3975
15601,0
10779,4
27108,0
15348,2
23839,951
23019,87
1395,4900
12095,374
2772,3
1364,1
4435,402
11535,41
15092,667
25714,64
1543,45
20767,2022
24428,69
25908,0
28351,3393
8627,529
8251,1165
28514,1372
22908,1
3216,210
23341,2
3076,1402
14743,276
18587,43
6913,1
27624,995
9072,399
9167,2600
10479,2
6246,1
3685,22
28844,2
711,1
312,572
28344,2642
22344,80
14437,366
9761,532
15877,376
13359,62
28908,0
5405,147
2183,520
17129,0
27195,747
23868,5526
27691,670
13065,2243
5227,110
9117,79
13457,256
19327,1
20182,606
2393,1
28783,2043
21629,713
28544,3
11312,618
12085,674
9601,2
23606,0
1650,22
21229,4821
11724,0
8334,256
28665,0
22355,429
23615,353
3903,418
23978,472
2194,1
23448,1
7483,56
12727,4365
1049,28
8647,47
25276,908
23018,3
21861,184
28277,94
11338,0
23535,2
22321,2417
21745,0
4424,0
9279,312
25815,0
4516,212
24486,5368
23428,52
15602,3730
6548,47
28403,637
5955,645
22580,2
1368,2451
17340,1
7432,2
3362,33
7119,3
1241,36
5359,1
27899,397
17423,244
23067,1
13967,2288
14409,2
9159,0
5586,0
5494,317
22194,587
20306,549
1600,0
28941,0
22119,570
25013,1304
7989,68
14430,43
4054,42
19726,284
28191,3
17228,1
11620,432
13451,3
24293,396
19938,0
9806,41
15597,0
22796,1473
26214,0
24267,7
24948,3
3430,3193
25530,1
14797,53
14093,0
11607,3
23742,260
7209,1
27211,2955
25275,76
14872,0
22302,5
13768,1
5988,91
5596,0
1495,1
14422,0
9006,4
9056,4
23330,0
27404,0
16309,542
13180,378
15419,5190
13280,81
13878,65
20630,0
14938,1
2914,1385
23225,41
9397,1013
10163,4587
26414,532
16560,0
29095,990
400,230
29087,2
24583,411
11290,57
9554,0
4020,437
5368,517
738,3
22180,421
4818,227
7129,0
416,32
10342,3
1006,219
20088,64
28119,2
14885,40
4648,2485
28405,3855
16424,10
20160,60
28270,77
27706,0
4762,135
25350,55
28708,486
26198,347
1723,533
7175,571
10573,0
23288,548
8419,27
20692,394
2777,277
16005,0
17872,194
28064,3
12834,1979
23072,199
7916,878
23287,55
10883,3
2198,3268
14840,1111
8957,349
13773,1061
14948,0
28496,2
24945,0
5116,320
5491,469
27767,685
11054,562
589,24
7670,1
14378,0
27735,2237
24173,1
21077,2
5804,74
26347,0
21404,707
3289,473
2161,251
20059,1
18453,813
28466,1101
14177,2671
6569,36
21825,2
8873,0
11128,553
8296,15
7999,3985
7302,2176
21115,413
10112,27
21839,2
28486,0
27991,25
13426,311
1866,267
23967,114
23686,75
17920,3274
9523,0
18711,56
11764,1
12182,0
18728,2866
5187,28
20682,845
22818,396
19543,240
731,2
9163,1
19053,2
10289,373
7489,488
14366,0
7103,472
15162,70
22169,324
26380,192
498,0
12504,52
1365,34
11793,1
7711,238
8141,274
18918,5
25720,4
14721,0
1225,2
15023,0
7198,376
7313,255
22934,141
22334,0
16541,40
27104,4
21517,0
28652,0
22248,1
22104,23
2692,53
11304,47
21321,614
8633,111
6164,0
20384,4
18243,45
13124,383
1685,0
3634,0
25962,885
2541,1
12838,63
19275,5407
21265,157
26063,3
26218,1018
679,29
28266,5163
12084,58
25566,721
4341,171
12791,0
13982,632
2076,240
26834,13
17600,4
2537,849
27765,4
764,1
9179,469
25237,271
9649,1
5358,2
2706,46
27227,3
16245,688
28722,4
9803,1770
4450,10
12616,0
21783,1
18439,859
15238,1
12317,0
18527,1
18028,204
17393,1
26821,491
20190,2092
23373,2
4720,0
626,611
7467,102
11464,2
18254,258
28950,202
3559,1
20751,76
23849,594
27220,1
15710,1
10403,162
868,0
28528,2227
22656,347
12067,264
13578,74
18528,17
20511,781
5305,4
11994,683
9262,629
15435,39
22550,0
19436,0
749,2768
11936,2748
15216,256
20224,3129
3911,2
7772,311
26231,1910
23802,1
25913,62
21130,0
20211,2234
21690,3554
16017,0
20079,397
11244,217
19011,0
21061,4698
25921,1
15529,1
15911,4103
3868,0
16811,1913
6330,1985
21257,3391
26345,55
27638,0
25433,0
25547,925
1597,2
16866,4582
16729,33
14239,80
17200,3
5239,77
11295,0
17982,54
27354,40
2676,387
15588,4462
21509,442
29020,47
7864,2
4225,1988
11016,292
10474,783
6706,4
13108,0
9677,46
5199,2
9325,1
1378,45
5301,0
5045,9
15078,615
4498,19
24830,0
2545,1674
24218,0
2519,400
26582,1
15341,3
10855,0
3993,0
4440,0
8399,1
523,17
22202,0
7464,286
11616,82
17351,2862
137,260
28168,1063
2469,1
6001,3
12337,555
24828,87
8916,172
21437,65
27815,0
16481,37
6263,0
26049,4
9738,0
23497,111
1129,3
15426,5423
28447,5310
1845,2557
11030,62
16947,678
7775,33
18933,80
19773,394
17573,0
19890,0
18440,0
5841,0
24152,2
5629,2
23309,0
11672,0
21143,3
16503,1658
26718,0
7263,6
3561,310
20680,3
4526,42
9729,0
5369,0
303,3
13955,2158
16649,0
21456,264
5975,75
13424,1
13006,0
6575,30
1810,1
17075,553
23727,1
23139,353
9975,1
21570,3
18160,2
19613,2
27133,6
11023,42
21837,477
2571,141
9175,407
11098,370
9381,3
28575,0
24767,57
14753,0
15786,16
5290,0
25744,0
22057,438
16053,1
23762,675
24380,1
27539,67
25797,790
7798,53
1592,793
5736,451
15600,730
16635,569
10023,3465
28508,306
7251,61
29000,80
11339,532
19939,4241
19354,33
17776,5
15366,1580
17302,2001
18423,344
21058,64
10140,41
27515,0
19820,0
2400,11
18455,3022
1191,1828
3527,0
13420,150
13308,37
14542,868
16385,2673
24835,84
17796,2
3829,0
26515,159
9472,2217
22673,609
3214,0
27645,0
24834,6
13782,1
16129,1
20456,50
17045,1
315,283
9630,307
21051,84
28002,0
29042,0
24906,1
16451,775
22329,302
16374,1
2003,279
440,439
16620,79
28978,4
24328,67
1461,375
