id,pickups
8796,2555
4259,1
13760,1706
15392,2461
9069,0
19035,331
5272,503
397,389
7409,380
23148,1
8457,1
27628,0
5721,17
8192,207
2317,2355
4796,0
18776,2
14686,16
6464,0
9549,36
14470,623
27574,52
27721,2292
10166,2
4319,1604
13229,2222
12688,4
27887,2
24249,488
26300,463
5033,32
23528,0
24774,76
18665,573
20870,1
23160,499
4274,0
19316,0
26787,0
10875,191
10105,39
28539,442
28781,1501
6367,0
25573,679
23909,991
9036,50
2344,1
10178,279
12880,589
25632,1
2016,52
5259,0
963,0
23374,91
17723,31
26569,60
4967,0
17187,4
16253,4319
11399,0
7109,3737
6100,408
4911,0
13089,0
5805,470
8609,635
21722,107
19662,9
18564,385
11827,15
27289,407
15637,25
6942,1
27759,2
16487,40
15438,1758
12784,0
7436,5948
13304,1674
8742,509
14120,0
8998,238
18037,1
10323,58
17598,327
26520,24
7774,4
1619,0
28579,2
15492,363
18613,51
20614,99
10088,2751
25519,31
21572,455
8245,0
27953,0
2724,0
21280,198
4124,0
24871,80
12794,0
27248,2
6291,2222
15009,597
2997,1331
23128,2
13027,344
28117,3784
7806,19
18020,2339
16480,2
20508,0
9976,2780
8519,1
13268,0
5452,0
24093,633
23314,61
24493,4013
14091,47
3487,208
13231,0
2762,1002
22463,214
21641,677
12205,0
14864,1419
23058,461
23319,4
17807,0
26344,1
7339,0
26498,452
27695,2
7347,3498
22178,2
8883,531
21823,503
9753,40
8307,235
25072,4
26192,0
9562,24
28958,1
14179,5
18283,43
26492,0
10708,0
2086,195
28618,3616
4575,5782
7979,216
16960,57
19069,562
9782,0
29066,3
13978,34
6821,0
1108,0
27150,3216
21420,2
27046,0
14294,405
15125,64
6427,1930
24463,440
20977,1
8178,251
23944,1
12353,199
20181,59
14528,0
15006,9
26087,0
6627,0
4369,2
13910,200
4543,327
4098,52
25213,13
18885,75
12062,2
26342,139
4627,1138
29026,91
23089,252
21346,290
4355,242
18908,0
3390,448
4113,3010
6151,4089
20097,0
10781,464
6275,322
11220,477
6190,0
569,47
7875,0
29055,668
28967,0
9441,156
21252,3
17568,21
2923,0
23880,1437
11493,3
26091,2
82,1572
14826,0
2727,0
15000,31
21305,1
1017,0
17306,56
20075,65
8771,0
13463,2169
8768,0
23496,1
17212,3496
13160,45
21163,1
21742,5
2485,380
12189,1631
9326,27
12120,286
489,1
16184,790
3818,58
5923,166
19539,55
2530,1071
20657,0
14609,1
13950,206
17520,1
17851,1
10518,212
15019,376
25804,878
12912,4
872,1895
12463,9
3978,0
7295,2389
6822,2
17374,3
16442,17
26271,3180
21974,252
10932,373
3736,3
12192,1
19942,4
9466,1998
22771,0
6342,3586
22271,263
25556,2
9057,45
19520,504
20163,1146
19323,0
26923,487
23531,1012
17602,669
11499,0
27528,0
14060,0
25098,2371
28086,87
5047,51
8882,124
13405,0
6318,451
15494,1486
8365,47
555,48
18984,699
15202,253
11315,606
14458,0
20564,1
10099,39
4939,0
8557,0
18868,753
6681,2
15046,0
26031,0
27549,1984
21520,1
22388,4042
14564,275
15295,0
6092,47
15727,0
25446,0
14582,1846
12183,2149
16693,351
10549,8
2730,0
16763,708
28742,498
9016,444
28051,1
26733,2774
7750,4464
17694,4686
17392,1
27277,1
16347,2
3352,630
11950,422
8687,45
17706,0
14023,343
1031,0
22405,1
14222,339
3941,614
23890,1
22283,1
18379,1
5822,399
23929,395
20356,1
20991,3
659,21
5299,36
1248,833
25788,1
4910,146
6922,46
8101,32
12486,640
15842,226
24794,455
7539,1
22521,556
18831,3
8848,428
3196,175
18332,829
21002,0
12706,3240
9007,2
7032,3525
21396,2783
22072,3
23928,1609
27145,525
2972,0
22964,53
18398,5
11250,227
22477,300
2933,651
17415,0
23537,58
4388,238
11538,2942
22285,320
24084,1
25769,40
6840,62
3942,0
1113,1303
10322,2
18624,2
14038,0
6160,1
9510,0
28756,482
22652,85
890,488
2220,5
26276,521
17612,220
27885,450
16817,0
1385,30
4068,405
27598,4908
14925,1
26947,417
4704,67
10721,334
1514,245
27256,2
16266,3917
15925,3783
24658,2
27327,27
26421,493
17623,0
19950,77
4906,3583
11367,395
20587,976
15648,0
23787,1
14274,0
21736,138
3322,1
12289,3
460,1598
14001,5785
9849,557
28231,3484
27509,685
15928,1
25009,552
907,347
15060,168
5876,0
20621,45
9625,0
20098,2658
24332,385
24200,6
28789,0
13505,2
20408,881
1694,299
11913,632
513,158
616,105
16180,216
1772,111
3788,0
3516,1
23966,1
4617,0
10626,1
13099,1
6393,0
25503,5237
17509,135
12546,528
3877,229
11614,0
20418,612
24957,327
10290,0
3010,16
15709,4
1733,290
2288,361
27652,0
28332,1021
22241,3
28181,0
22585,1252
25514,268
19512,43
21475,0
22956,1
25782,81
25839,0
4665,36
22650,3
24485,0
22779,86
26485,1
28551,6
25031,1
26099,87
357,3
5284,1
26670,0
15701,271
23529,3
11529,393
8968,0
23443,834
2250,1
4090,415
11438,48
11579,432
16131,265
17336,0
891,0
13224,0
4517,2
18257,218
25296,813
8711,5761
26760,0
18259,2455
3809,0
15261,0
14781,4688
19770,638
12309,40
3926,1
5515,8
27853,107
9823,3106
5492,0
19631,1644
16440,48
15951,0
4316,28
20892,1293
24599,64
19910,0
15150,0
19735,1
12823,1
8308,0
21486,1
20374,0
19062,51
6232,2
6332,1
7667,0
7054,238
20222,758
8448,143
22187,661
7978,843
7037,390
12420,0
10266,0
14850,230
15215,2286
24390,208
26852,2
10885,25
597,0
13993,0
22150,2
28215,366
6048,1
13836,1
18070,97
8038,0
15247,0
28989,1838
3770,1
14556,2555
16956,3237
26676,232
12385,0
14483,1008
27917,715
25358,0
26396,70
13483,1931
27901,1
25874,731
8055,74
23901,0
3329,1
11816,2233
17391,149
15409,68
6438,0
11148,0
2563,0
27790,4347
10480,39
15875,0
11584,0
28735,465
10528,16
25752,351
18296,1
10135,0
22888,507
22940,1600
17229,2
7236,1
969,101
1657,40
5682,2
24808,518
24045,312
26706,2673
4258,337
21353,791
20277,1016
21362,2538
4748,196
1252,1
18903,350
8416,3975
27907,4
14112,391
16340,0
8839,1
17399,1
19352,0
24890,814
25821,2
2358,2
21113,124
3683,247
6737,274
23180,455
1050,488
9752,1
26869,775
5450,37
16720,587
22691,3
20324,525
4244,0
16100,223
26128,1225
881,1
